SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
936254,985EFL28    ,F ,D,978.00,978.01,978.00,978.01,978.01,980.00,3,102,99756.00,
936286,880TCFSL21  ,F ,D,1058.00,1059.00,1058.00,1059.00,1059.00,1056.10,6,250,264600.00,
936290,890TCFSL23  ,F ,D,1066.90,1067.00,1064.25,1065.17,1064.25,1065.00,10,290,309270.00,
936294,910TCFSL28  ,F ,D,1077.89,1077.89,1077.89,1077.89,1077.89,1074.67,1,100,107789.00,
936298,0KFL20F     ,F ,D,839.00,1020.01,839.00,1020.00,1020.00,1045.00,6,370,364730.00,
936312,AHFL29SEP18 ,F ,D,990.00,990.00,990.00,990.00,990.00,825.03,2,169,167310.00,
936316,925AHFL23   ,F ,D,895.25,895.25,839.00,839.00,839.00,940.00,3,25,21476.00,
936318,965AHFL23   ,F ,D,917.00,917.00,917.00,917.00,917.00,918.00,3,27,24759.00,
936326,930STFCL28  ,F ,D,1003.00,1003.00,1003.00,1003.00,1003.00,1001.92,2,350,351050.00,
936330,950STFCL23  ,F ,D,1030.60,1031.01,1030.00,1030.00,1030.00,1010.00,8,361,372088.00,
936334,STFCL21118  ,F ,D,1014.00,1014.00,1014.00,1014.00,1014.00,1014.00,1,20,20280.00,
936356,MFL29NOV18  ,F ,D,1035.15,1035.15,1035.00,1035.00,1035.00,1035.10,3,20,20701.00,
936360,10MFL23     ,F ,D,1001.00,1013.00,1001.00,1009.25,1013.00,1000.00,3,80,80740.00,
936368,MFL29NOV18A ,F ,D,1011.10,1030.00,1011.10,1030.00,1030.00,1023.99,2,300,306165.00,
936370,MFL29NOV18B ,F ,D,1003.00,1003.00,1002.00,1003.00,1003.00,1005.00,5,242,242626.00,
936376,10JMFCSL22  ,F ,D,995.00,1002.00,995.00,1002.00,1002.00,995.00,5,167,166573.00,
936380,101JMFCSL23 ,F ,D,1025.00,1025.00,1025.00,1025.00,1025.00,970.00,1,250,256250.00,
936382,967JMFCSL23 ,F ,D,965.00,965.00,965.00,965.00,965.00,966.00,5,105,101325.00,
936384,1025JFCSL28 ,F ,D,970.00,970.00,970.00,970.00,970.00,998.00,2,39,37830.00,
936388,1020EFL22   ,F ,D,1000.00,1000.00,1000.00,1000.00,1000.00,999.00,11,450,450000.00,
936398,1015EFL29   ,F ,D,1000.00,1000.00,999.00,1000.00,1000.00,1000.00,6,126,125975.00,
936412,93MMFSL27   ,F ,D,1033.50,1033.50,1031.00,1031.00,1031.00,1036.00,9,1256,1296186.00,
936454,93STFCL29   ,F ,D,1012.00,1012.00,1012.00,1012.00,1012.00,1010.00,1,50,50600.00,
936458,95STFCL24   ,F ,D,1020.00,1020.00,1020.00,1020.00,1020.00,978.20,2,100,102000.00,
936464,0STFCL24    ,F ,D,972.50,972.50,955.05,955.05,955.05,972.50,2,33,31952.00,
936478,1050IIFL29  ,F ,D,1040.00,1040.00,1020.00,1020.00,1020.00,1030.00,2,2,2060.00,
936480,935MFL22    ,F ,D,963.00,964.94,956.51,964.94,964.94,963.00,10,104,99685.00,
936482,975MFL24    ,F ,D,976.00,1002.00,975.00,1002.00,1002.00,985.00,7,269,266522.00,
936484,975MFL22A   ,F ,D,963.13,990.00,963.13,985.00,985.00,967.25,7,153,148458.00,
936488,0MFL22      ,F ,D,960.01,960.01,960.01,960.01,960.01,954.20,1,20,19200.00,
936492,0MFL26      ,F ,D,979.00,979.00,979.00,979.00,979.00,979.00,1,10,9790.00,
936494,1075ICFL21  ,F ,D,990.00,990.00,990.00,990.00,990.00,976.03,1,20,19800.00,
936500,1090ICFL22  ,F ,D,952.00,993.00,952.00,993.00,993.00,993.11,3,124,123009.00,
936506,11ICFL24    ,F ,D,990.00,990.00,985.00,985.00,985.00,991.00,2,45,44450.00,
